Date,Day of the week,App (Use all CAPITALS),Minutes,Category
August 24,Thursday,MESSAGES,60,Other
August 24,Thursday,YOUTUBE,26,Entertainment
August 24,Thursday,INSTAGRAM,11,Social Media
August 24,Thursday,SPOTIFY,65,Entertainment
August 24,Thursday,MESSENGER,20,Social Media
August 25,Friday,MESSAGES,24,Other
August 25,Friday,YOUTUBE,21,Entertainment
August 25,Friday,SPOTIFY,15,Entertainment
August 26,Saturday,SPOTIFY,120,Entertainment
August 26,Saturday,YOUTUBE,60,Entertainment
August 26,Saturday,MESSAGES ,34,Other
August 27,Sunday,MESSENGER,120,Social Media
August 27,Sunday,MESSAGES,60,Other
August 27,Sunday,SPOTIFY,37,Entertainment
August 27,Sunday,YOUTUBE,14,Entertainment
August 28,Monday,SPOTIFY,36,Entertainment
August 28,Monday,MESSAGES,17,Other
August 28,Monday,INSTAGRAM,13,Social Media
August 29,Tuesday,MESSAGES,13,Other
August 29,Tuesday,INSTAGRAM,6,Social Media
August 29,Tuesday,YOUTUBE,4,Entertainment
August 30,Wednesday,MESSAGES,60,Other
August 30,Wednesday,SPOTIFY,56,Entertainment
August 30,Wednesday,YOUTUBE,28,Entertainment
August 30,Wednesday,INSTAGRAM,9,Social Media
August 31,Thursday,MESSAGES ,12,Other
August 31,Thursday,SPOTIFY,7,Entertainment
August 31,Thursday,INSTAGRAM,6,Social Media
August 31,Thursday,YOUTUBE,6,Entertainment
August 31,Thursday,MESSENGER,6,Social Media
