Date,Day of the week,App (Use all CAPITALS),Minutes,Category
August 24,Thursday,MESSAGES,60 Minutes,Other
August 24,Thursday,YOUTUBE,26 Minutes,Entertainment
August 24,Thursday,INSTAGRAM,11 Minutes,Social Media
August 24,Thursday,SPOTIFY,65 Minutes,Entertainment
August 24,Thursday,MESSENGER,20 Minutes,Social Media
August 25,Friday,MESSAGES,24 Minutes,Other
August 25,Friday,YOUTUBE,21 Minutes,Entertainment
August 25,Friday,SPOTIFY,15 Minutes,Entertainment
August 26,Saturday,SPOTIFY,120 Minutes,Entertainment
August 26,Saturday,YOUTUBE,60 Minutes,Entertainment
August 26,Saturday,MESSAGES ,34 Minutes,Other
August 27,Sunday,MESSENGER,120 Minutes,Social Media
August 27,Sunday,MESSAGES,60 Minutes,Other
August 27,Sunday,SPOTIFY,37 Minutes,Entertainment
August 27,Sunday,YOUTUBE,14 Minutes,Entertainment
August 28,Monday,SPOTIFY,36 Minutes,Entertainment
August 28,Monday,MESSAGES,17 Minutes,Other
August 28,Monday,INSTAGRAM,13 Minutes,Social Media
August 29,Tuesday,MESSAGES,13 Minutes,Other
August 29,Tuesday,INSTAGRAM,6 Minutes,Social Media
August 29,Tuesday,YOUTUBE,4 Minutes,Entertainment
August 30,Wednesday,MESSAGES,60 Minutes,Other
August 30,Wednesday,SPOTIFY,56 Minutes,Entertainment
August 30,Wednesday,YOUTUBE,28 Minutes,Entertainment
August 30,Wednesday,INSTAGRAM,9 Minutes,Social Media
August 31,Thursday,MESSAGES ,12 Minutes,Other
August 31,Thursday,SPOTIFY,7 Minutes,Entertainment
August 31,Thursday,INSTAGRAM,6 Minutes,Social Media
August 31,Thursday,YOUTUBE,6 Minutes,Entertainment
August 31,Thursday,MESSENGER,6 Minutes,Social Media
